text,label
Government announces new healthcare policies aimed at affordability.,Real
Politician caught in massive scandal involving secret societies.,Fake
Education reforms introduced to improve literacy rates.,Real
Scientists admit climate change is a hoax orchestrated by elites.,Fake
Supreme Court rules on major civil rights case.,Real
"Mind-reading technology already in use, whistleblower claims.",Fake
Archaeologists uncover ancient city beneath desert sands.,Real
Cure for cancer found but big pharma suppresses it for profit.,Fake
Supreme Court rules on major civil rights case.,Real
Shocking! Government plans secret mind control project revealed.,Fake
Tech companies invest in sustainable energy initiatives.,Real
Politician caught in massive scandal involving secret societies.,Fake
New vaccine approved after successful clinical trials.,Real
Breaking: Celebrity endorses miracle cure banned by scientists.,Fake
NASA successfully launches satellite for climate monitoring.,Real
"Mind-reading technology already in use, whistleblower claims.",Fake
UN holds summit on global food security challenges.,Real
Man builds time machine in garage using common household items.,Fake
Tech companies invest in sustainable energy initiatives.,Real
Breaking: Celebrity endorses miracle cure banned by scientists.,Fake
Government announces new healthcare policies aimed at affordability.,Real
Man builds time machine in garage using common household items.,Fake
New vaccine approved after successful clinical trials.,Real
"Mind-reading technology already in use, whistleblower claims.",Fake
UN holds summit on global food security challenges.,Real
Shocking! Government plans secret mind control project revealed.,Fake
UN holds summit on global food security challenges.,Real
Breaking: Celebrity endorses miracle cure banned by scientists.,Fake
Education reforms introduced to improve literacy rates.,Real
"COVID-19 vaccine turns people into zombies, reports say.",Fake
Supreme Court rules on major civil rights case.,Real
Politician caught in massive scandal involving secret societies.,Fake
Archaeologists uncover ancient city beneath desert sands.,Real
"Mind-reading technology already in use, whistleblower claims.",Fake
Archaeologists uncover ancient city beneath desert sands.,Real
Breaking: Celebrity endorses miracle cure banned by scientists.,Fake
Government announces new healthcare policies aimed at affordability.,Real
Scientists admit climate change is a hoax orchestrated by elites.,Fake
NASA successfully launches satellite for climate monitoring.,Real
Breaking: Celebrity endorses miracle cure banned by scientists.,Fake
New vaccine approved after successful clinical trials.,Real
Breaking: Celebrity endorses miracle cure banned by scientists.,Fake
UN holds summit on global food security challenges.,Real
"Mind-reading technology already in use, whistleblower claims.",Fake
UN holds summit on global food security challenges.,Real
New world order plans exposed in leaked documents.,Fake
Education reforms introduced to improve literacy rates.,Real
Breaking: Celebrity endorses miracle cure banned by scientists.,Fake
UN holds summit on global food security challenges.,Real
"Alien life confirmed on Mars, NASA hides the truth.",Fake
Tech companies invest in sustainable energy initiatives.,Real
Cure for cancer found but big pharma suppresses it for profit.,Fake
NASA successfully launches satellite for climate monitoring.,Real
"COVID-19 vaccine turns people into zombies, reports say.",Fake
Government announces new healthcare policies aimed at affordability.,Real
Shocking! Government plans secret mind control project revealed.,Fake
Government announces new healthcare policies aimed at affordability.,Real
Man builds time machine in garage using common household items.,Fake
Education reforms introduced to improve literacy rates.,Real
New world order plans exposed in leaked documents.,Fake
UN holds summit on global food security challenges.,Real
Man builds time machine in garage using common household items.,Fake
Supreme Court rules on major civil rights case.,Real
"Alien life confirmed on Mars, NASA hides the truth.",Fake
Education reforms introduced to improve literacy rates.,Real
New world order plans exposed in leaked documents.,Fake
Archaeologists uncover ancient city beneath desert sands.,Real
"Alien life confirmed on Mars, NASA hides the truth.",Fake
Supreme Court rules on major civil rights case.,Real
"COVID-19 vaccine turns people into zombies, reports say.",Fake
Supreme Court rules on major civil rights case.,Real
Breaking: Celebrity endorses miracle cure banned by scientists.,Fake
Researchers publish findings on ocean pollution trends.,Real
New world order plans exposed in leaked documents.,Fake
UN holds summit on global food security challenges.,Real
Cure for cancer found but big pharma suppresses it for profit.,Fake
NASA successfully launches satellite for climate monitoring.,Real
"COVID-19 vaccine turns people into zombies, reports say.",Fake
Supreme Court rules on major civil rights case.,Real
Shocking! Government plans secret mind control project revealed.,Fake
Supreme Court rules on major civil rights case.,Real
